"","theta","(Intercept)","log_umi"
"LINC00339",0.715256372267873,-10.4267179510721,1.853521865941
"CDC42",2.81393386879412,-8.47019428258653,2.30976750439987
"ZBTB40",0.460183888469998,-13.3819242514551,2.7399385192917
"C1QA",0.0245256682423463,-26.6321670999062,6.77373866338485
"C1QC",6.4089647264014,-27.9399926121923,6.60983356011026
"C1QB",23.5544480097211,-27.64632017324,6.94081298492446
"EPHB2",0.134583579829186,-20.8170004940422,4.35695198780748
"KDM1A",0.579014877041424,-12.6543618133955,2.62297299758023
"LUZP1",0.956686597411252,-11.2472617014839,2.25987325653353
"HNRNPR",3.95235346762474,-9.93986505071663,2.52477660452861
"ZNF436",0.00094411171320194,-8.5375941387836,1.14946826849183
"TCEA3",0.229342898773161,-8.20027868916265,1.51128383068213
"E2F2",0.324842491182243,-16.7625088927108,3.56848911964737
"ID3",0.217279864165314,-10.9216878921007,2.49285090421288
"MDS2",0.0400958809499976,-6.20085143831722,0.756993027657242
"RPL11",7.41569561934848,-3.81818465554036,2.00932447998169
"TCEB3",0.660127245654819,-12.3140981634718,2.59912025888899
"RP5-886K2.3",0.3488909194954,-17.5837357432286,3.88265728350814
"PITHD1",0.434354091817788,-7.73634894675629,1.76871381344149
"LYPLA2",0.687147224277896,-8.78658825433204,1.91100276522752
"GALE",0.355089080086185,-13.616517062878,2.7498293728107
"HMGCL",0.101561435934408,-8.33022686448947,1.67661580619287
"FUCA1",1.20989739886691,-11.1191717641374,2.33007731301179
"CNR2",0.369687308856982,2.8997788499406,-2.3721871402547
"PNRC2",1.62051776101157,-13.4342642970889,3.11206870025866
"SRSF10",0.590013855148757,-8.52088456945392,1.64746878686348
"IFNLR1",0.16638390966869,-16.3234796097119,3.09987694353665
"STPG1",0.0841750005538698,-11.930805257774,2.19366763687936
"NIPAL3",1.85482782828397,-8.6083544698909,1.73338433694491
"RCAN3",1.19550936245005,-8.24191068184468,1.82518862891061
"RP4-594I10.3",0.356325274489942,-9.21702291074627,1.28461907497099
"SRRM1",1.18674230835186,-10.3015496339225,2.58592819201559
"CLIC4",0.251158713490831,-11.7422907924052,2.23992343121113
"RUNX3",1.51512731620528,-7.44895190454268,1.50625692295912
"SYF2",2.05664311309602,-7.63241381110302,2.06830430777102
"C1orf63",0.698607476486556,-8.60677536099726,2.11358322168374
"RP3-465N24.6",0.10877119888901,-8.78399856171127,0.798883623491261
"TMEM50A",0.823484547505753,-7.58070565380103,1.94606763630064
"TMEM57",0.421294194852666,-12.2384484732931,2.55395062800223
"LDLRAP1",0.357664182883147,-3.32333003164974,0.441886704394526
"RP11-70P17.1",0.0177540649061388,-14.1888216554403,2.93983269430815
"MAN1C1",0.429902126611255,-7.29700499831563,0.76892559109322
"RP1-187B23.1",0.395537228294744,-12.2833033579124,2.24153397094786
"SEPN1",0.756941058379585,-11.9732317716599,2.30036208466057
"MTFR1L",1.46853376458942,-11.0293103212449,2.39079346063733
"STMN1",0.104877698305068,-21.2319895083291,5.60277611278252
"PAFAH2",0.511735681668944,-10.7859683937961,1.87696427174372
"PDIK1L",0.00849912517555544,-3.79359440644943,0.00591472665155459
"ZNF593",0.178670343547118,-16.0680739910987,3.99025195066553
"CEP85",0.256972979553546,-15.6500498366913,3.15550031202816
"SH3BGRL3",1.84300597295903,-7.91105008191512,2.73057699193858
"UBXN11",0.994601162822908,-12.1029623831398,2.85546320343461
"CD52",3.13162402261414,-6.03636333829694,2.19595936622977
"AIM1L",0.0202484437815659,-4.09331049432102,-0.423778428735996
"ZNF683",0.136807408336286,-10.6616632903493,1.929727354956
"DHDDS",0.506170903897477,-12.3251291049641,2.46276224567385
"HMGN2",2.11047396925666,-13.099231634112,3.20214441207585
"RPS6KA1",2.4564119810649,-9.72426942378128,2.17830762716404
"ARID1A",1.26918661868146,-10.746825411765,2.39749442070754
"PIGV",0.143792611572054,-11.6268583642877,2.27005869265728
"ZDHHC18",0.436376025321158,-14.2719420162,2.99241130252725
"GPN2",0.675831587167271,-13.0612161129308,2.84177899398638
"GPATCH3",0.318727682785695,-10.354427571841,1.89064330245398
"NUDC",1.13509785275115,-12.7027655656901,3.36628027013071
"C1orf172",0.16398170800454,-9.530580913153,1.14097174300367
"SLC9A1",0.353201429927236,-14.9128526126176,3.11883529811307
"WDTC1",1.29850041252232,-9.13068194987716,1.64165173932032
"TMEM222",0.172597604382444,-14.0893895926836,3.41171977689877
"SYTL1",1.56746145392162,-8.32067639655763,1.99013281227505
"MAP3K6",0.783377281825037,-7.89919013060263,1.12098610500081
"WASF2",1.73766609850891,-9.68939538563382,2.4378967303606
