"","theta","(Intercept)","log_umi"
"TCEB3",0.435845304393994,-11.0632789560144,2.23201418300736
"RP5-886K2.3",0.241587964993237,-11.7203125191351,2.17168265402027
"PITHD1",0.724581907424169,-9.9981443850546,2.41145665121848
"LYPLA2",0.576197240157393,-10.1881958878593,2.31935343392794
"GALE",0.251141901207489,-11.6827217186918,2.17775498330012
"HMGCL",0.441829313986691,-10.5723958390502,2.2801113703419
"FUCA1",0.470521253694012,-10.9202711967342,2.27225176355077
"CNR2",0.241904545563597,-12.2014659440717,2.16146712228198
"PNRC2",0.441583724308817,-10.5668496357276,2.28080589354849
"SRSF10",0.44923453456399,-10.6589923325742,2.27527099732106
"IFNLR1",0.141473787659634,-12.8191386499719,2.05126746596957
"STPG1",0.225242173550997,-11.8928066779572,2.16961132666487
"NIPAL3",0.445930847143323,-10.5143401757326,2.30180410620093
"RCAN3",0.634292602279765,-9.99742775829957,2.34748609011183
"RP4-594I10.3",0.241904545563597,-12.2014659440717,2.16146712228198
"SRRM1",0.857793910132477,-9.8371265174386,2.44869809765778
"CLIC4",0.276234074996775,-11.6121930892694,2.19202297773267
"RUNX3",0.573149029511788,-10.2028550422398,2.32060053796182
"SYF2",1.23998023333601,-9.35285835029681,2.57812088262173
"C1orf63",0.886233479415718,-9.82443691306081,2.45823213943832
"RP3-465N24.6",0.108196131760806,-13.0200960649104,2.02232033555741
"TMEM50A",1.09781997155747,-9.48930342501314,2.49228199054589
"TMEM57",0.422599320706511,-11.0835925361052,2.210594906622
"LDLRAP1",0.703147936594549,-10.0092375066957,2.39907494705399
"RP11-70P17.1",0.229957407741661,-11.8091008272557,2.16753714477403
"MAN1C1",0.224820970152689,-12.0670005958397,2.17690569188224
"RP1-187B23.1",0.224820970152689,-12.0670005958397,2.17690569188224
"SEPN1",0.276234074996775,-11.6121930892694,2.19202297773267
"MTFR1L",0.445167271615141,-10.6193041326728,2.2766630152517
"STMN1",0.574827724049584,-10.1948627555668,2.31991279551744
"PAFAH2",0.23199352621588,-11.7866684234734,2.16771263742681
"PDIK1L",0.243830210812101,-11.7099546343108,2.173027354835
"ZNF593",0.463632313017786,-10.5004035751282,2.32555122297515
"CEP85",0.248063606674305,-12.2567014115598,2.16085635613381
"SH3BGRL3",2.61515308884804,-7.06222413012129,2.46379099516787
"UBXN11",0.548118934226961,-10.3057707701288,2.33042630641988
"CD52",3.06927946437613,-6.71400690376549,2.39537511279501
"AIM1L",0.183062415540771,-12.5564644150092,2.05608461177669
