"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"TNFRSF25",0.497680045835484,-10.2278004342561,-10.5670412518972,2.27307653529541,2.33072324494486
"PLEKHG5",0.171339289510265,-12.6465705910921,-12.1895136568617,2.02009534814886,2.05040507882585
"NOL9",0.315340800686864,-11.3426094465374,-11.5882929144866,2.20426970687911,2.13583876778806
"ZBTB48",0.422580323726794,-11.2360036981478,-11.1641107195255,2.1984117032366,2.24668139774098
"KLHL21",0.280949852644176,-11.5226626848662,-11.6405287257191,2.20138460206992,2.13333393739148
"PHF13",0.214594727832573,-11.726029841205,-12.1068247246849,2.0703634990053,2.12504097367742
"THAP3",0.448681997428866,-10.8514868488208,-11.1494179348231,2.20437497955444,2.25196047781527
"DNAJC11",0.314275713507958,-11.5604266920596,-11.296056405529,2.0868295070752,2.20797630543902
"CAMTA1",0.596940442258805,-9.99242417931758,-10.2461052758662,2.28371087492477,2.33782178388771
"VAMP3",0.525455770915598,-10.1558535582971,-10.49875219246,2.27210470759188,2.34116953790594
"PER3",0.228170944268764,-11.6329811063944,-11.8143950828964,2.06588328003641,2.1344613219071
"UTS2",0.177437930521445,-12.9807844892051,-12.4241370356452,2.23242604348101,2.07119716703591
"TNFRSF9",0.188220934660776,-12.9432123532301,-12.1110471007192,2.22963061328779,2.08748410572362
"PARK7",1.49948975821844,-8.91275366798993,-9.22225062104221,2.55135728633728,2.66513893823796
"RERE",0.466266748810979,-10.6105904052455,-10.7523832308469,2.22925832651299,2.31287290526221
"ENO1",1.64586313852091,-8.54610233169449,-8.79412508069235,2.53954630815451,2.62020786038225
"ENO1-AS1",0.182645041051933,-12.7229509827603,-12.4241370356452,2.20280914120116,2.07119716703591
"H6PD",0.363485212741134,-11.1505789154595,-11.4417060102327,2.1929460066656,2.14738942524696
"SPSB1",0.18075286309051,-12.6465705910921,-12.1107581427912,2.02009534814886,2.07967987971902
"SLC25A33",0.470632093300587,-10.8130502417273,-11.0179153861465,2.2148041924226,2.30816012667487
"PIK3CD",0.577135761158332,-10.1416351266883,-10.1943584882558,2.27190670529405,2.33657106812686
"CLSTN1",0.461361494767017,-10.3746585672078,-10.8411125965655,2.26407911707556,2.31446393979778
"CTNNBIP1",0.481142453485041,-10.2796959243992,-10.6125055324032,2.27256095895118,2.32149550246828
"LZIC",0.461295257942646,-10.4429086436696,-10.7136145239201,2.24947323528582,2.31302843089852
"NMNAT1",0.226588395677694,-11.6329811063944,-11.8696704099259,2.06588328003641,2.13698823514882
"RBP7",0.550877217181738,-10.1471594247935,-10.3634528942525,2.27198030566817,2.34249536992284
"UBE4B",0.439406746243684,-10.9441599710064,-11.1541305556239,2.18761360768581,2.2501918441565
"KIF1B",0.223911752724746,-11.726029841205,-11.8696704099259,2.0703634990053,2.13698823514882
"PGD",0.696891682683428,-9.92168563339265,-10.0705057924497,2.34517220800504,2.41024779992164
"APITD1",0.255910485042754,-11.5684516927711,-11.5882929144866,2.12725989498536,2.13583876778806
"DFFA",0.47133290912896,-10.5441929718693,-10.986464280735,2.23309343377751,2.31226828969644
"PEX14",0.35687501427411,-11.5808116265201,-11.2458438685814,2.16509320920143,2.22409043967561
"TARDBP",0.496147741090936,-10.3413378713717,-10.4819873820234,2.26861617417464,2.34237931374549
"SRM",0.742633430722646,-9.86255942502289,-10.0723555195654,2.36130980424308,2.44363781696853
"EXOSC10",0.470166100946534,-10.7041669195802,-11.0921730761268,2.22635420463795,2.28091789807436
"MTOR",0.260957160653722,-11.5760569422627,-11.7023272750914,2.17954875866024,2.13206611735405
"UBIAD1",0.473073542540776,-10.6267482840727,-10.9612116427385,2.22871596992422,2.31404575382399
"FBXO2",0.192210182014188,-12.6465705910921,-11.9109799241815,2.02009534814886,2.13897810669448
"FBXO44",0.450656938675405,-10.8533870971487,-11.1330118675627,2.20380937478756,2.25883223978792
"FBXO6",0.462458483691219,-10.4154958032872,-10.6768317751139,2.25587979187899,2.31433893439374
"MAD2L2",0.569683421272265,-10.0872287173854,-10.3053028335648,2.2719042297302,2.34019280128858
"AGTRAP",0.81288556020796,-9.74694172214024,-10.0248032256121,2.3771088660739,2.47322750927839
"MTHFR",0.403186765978816,-11.0064967777485,-11.3495703192679,2.18640992128459,2.17745343684405
"CLCN6",0.23535877611131,-11.5807819102115,-11.7023272750914,2.07219043993715,2.13206611735405
"KIAA2013",0.413452696361237,-10.9943958932166,-11.3166542998045,2.18631931761659,2.19829320744835
"PLOD1",0.23535877611131,-11.6329811063944,-11.6405287257191,2.06588328003641,2.13333393739148
"MFN2",0.427059229515777,-11.1853777666012,-11.1541305556239,2.19516930653435,2.2501918441565
"MIIP",0.472252267546291,-10.4198814277652,-10.5490023449288,2.25486970133908,2.33433863114796
"TNFRSF8",0.259695280377805,-11.5645302205551,-11.5344065839047,2.11853605271832,2.13917447384522
"TNFRSF1B",0.779428749818441,-9.75619467682012,-10.0695650050655,2.37590620147036,2.44797393250416
"VPS13D",0.39080574084644,-11.0727942159524,-11.3634321699471,2.18855417022458,2.16917112199178
"DHRS3",0.397608079271607,-11.298495777024,-11.263091847762,2.20210679650895,2.21925798195264
"PRDM2",0.492762882253134,-10.3063175903419,-10.532013176117,2.27144445281811,2.33723107448496
"EFHD2",0.974721603052306,-9.57246085191924,-9.81074179345692,2.41094223731978,2.503635497299
"CASP9",0.275123687981729,-11.5600517762883,-11.4122259355272,2.10626979297255,2.15232676128729
"DNAJC16",0.226588395677694,-11.8610243825902,-11.7023272750914,2.0853567895114,2.13206611735405
"AGMAT",0.315340800686864,-11.3860396876462,-11.5418790762414,2.20582394294726,2.13868298891723
"DDI2",0.303361269905534,-11.5808116265201,-11.3755665114728,2.16509320920143,2.16336482790726
"PLEKHM2",0.308005243598048,-11.5808116265201,-11.3634321699471,2.16509320920143,2.16917112199178
"FBLIM1",0.226588395677694,-11.5604266920596,-12.0576635745586,2.0868295070752,2.14006767013108
"RP11-169K16.9",0.461591955299914,-10.464209469658,-10.6492119119731,2.24473562995079,2.31647996845736
"SPEN",0.441573505646224,-11.0064967777485,-11.1159788696966,2.18640992128459,2.26733061729726
"ZBTB17",0.343668203929805,-11.2360036981478,-11.4928272713773,2.1984117032366,2.14219743251733
"ARHGEF19",0.187360868260337,-12.1090283638258,-12.7048021381125,2.11804243767902,2.10185332445685
"FBXO42",0.424899404223213,-10.9496136133235,-11.2771641346581,2.18729767455538,2.21487978412548
"SZRD1",0.593753107568033,-10.0095934037996,-10.2345598116822,2.27881319510307,2.33744124003331
"NECAP2",0.896088959892547,-9.60075986028446,-9.9874305334661,2.40367667123827,2.48443319695674
"NBPF1",0.300235703798003,-11.5689820862341,-11.4237441525976,2.18639308154831,2.15013008123904
"CROCCP2",0.465743294028247,-10.5860762723148,-10.7615365271165,2.23030072163054,2.31295218630919
"CROCC",0.222778853026938,-11.7772600759159,-11.8696704099259,2.07545075119167,2.13698823514882
"RP11-108M9.4",0.470994573542543,-10.7208791418789,-10.7845533797458,2.22561082709089,2.31328989084804
"RP11-108M9.6",0.225478490438372,-11.6663874426567,-11.8696704099259,2.06637324380032,2.13698823514882
"ATP13A2",0.417596501132748,-11.3060142577673,-11.1684309137728,2.20250900100635,2.24526032565498
"SDHB",1.00782344405908,-9.53834599203119,-9.74349884593769,2.41970684893064,2.50372073026673
"PADI4",0.429068953065922,-10.856138101419,-11.33493185157,2.20299473490107,2.18722464056059
