"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"LZIC",1.4568916107987,-11.4567008845453,-9.599146454546,2.54430647121451,1.98347477895728
"NMNAT1",0.444681939082573,-8.68549928950134,-9.59740145337792,1.20474922093096,1.47477543876533
"RBP7",0.109586754073531,-2.50390690471744,-3.23697373350568,0.0647380900149144,0.266343536264874
"UBE4B",0.815030326660249,-11.7297807985064,-10.4280373939394,2.41753150835539,2.04278223157807
"KIF1B",0.460446128148085,-12.9276141938082,-13.6522555522925,2.43075490219217,2.66454571153072
"PGD",0.760708752361378,-11.194337244221,-14.0516446530723,2.72062660110697,3.58279458983157
"APITD1",0.615715377473578,-6.48082382197305,-7.4594085619779,0.629420012620823,0.920972097642934
"DFFA",0.66982421336315,-10.985071016847,-11.3589033386398,2.36109698286609,2.43166697676239
"PEX14",0.901920120225859,-7.82025795980188,-10.9998518962998,1.06072388495442,2.15248837958442
"TARDBP",1.4637315440063,-8.82937223998652,-9.31615762237534,1.82212781430087,1.9986065969719
"SRM",0.397778718191761,-11.7335635368494,-17.7131714788087,2.94074951167364,4.70552446405071
"EXOSC10",0.483998343920258,-9.36148564565338,-9.28519234338667,1.84106780547142,1.75534432267974
"MTOR",0.649497426699768,-12.7518491389556,-17.1013924226384,2.5288244266825,3.70525628930922
"UBIAD1",0.096374938730884,-9.98479692637738,-10.3180371764346,2.0395542152058,2.23549424701975
"FBXO2",0.10424591347593,-27.6552276228613,-2.74863697137637,6.33427993146625,-0.570233862179982
"FBXO44",0.964052186329865,-4.67810565073858,-7.21605635254499,0.375347082497971,1.11001838901505
"FBXO6",0.816953071780595,-11.6091892564455,-11.9226576631973,2.60729338044438,2.67890310600616
"MAD2L2",1.01800765403677,-11.2225758139566,-8.78967864252675,2.61280403096811,1.89166490927164
"AGTRAP",0.904337299435702,-10.7181497120965,-10.4942908622958,2.67149488518192,2.61499070556201
"MTHFR",0.755420857521301,-10.6117385537887,-11.2324186065613,2.07368045941343,2.14829797023152
"CLCN6",0.498646634429461,-10.7511619317953,-8.57971228895026,1.83685108190337,1.21613528638665
"KIAA2013",0.513555023131906,-18.4617014455314,-16.2150709615005,4.36166852832988,3.62975074500887
"PLOD1",0.422266627442353,-22.1093106782271,-23.071261391252,5.10449022620765,5.42136418042328
"MFN2",0.134658354777409,-7.41280583864594,-11.5396755548666,1.11247679508455,2.36848434168026
"MIIP",1.88870602035387,-14.2680114660879,-11.8202783668547,3.3743375336904,2.70093497225082
"TNFRSF8",0.167296637306938,-15.6961266486528,-23.3332193929829,3.33932308179258,5.54296780932226
"TNFRSF1B",0.597900121864689,-14.3880885942252,-9.18202799737433,3.72714636726115,2.22103183459241
"VPS13D",0.748548581796064,-7.81109856913175,-15.8744825403655,1.23052696570137,3.48706594204896
"DHRS3",0.45595369014416,-8.15833077494052,-5.80253228381978,1.28625192477173,0.606702265142165
"PRDM2",0.284318878857125,-6.75117441919514,-7.70308077951938,1.26434902823228,1.49958627472114
"EFHD2",0.546230137060496,-11.3567326630137,-10.8234870265428,2.96287646286594,2.83050063955088
